Conference Acronym	Conference Name	Conference Location	ResearchArea
AIMLA 2024	4th International Conference on AI, Machine Learning and Applications	Copenhagen, Denmark	ML
MoWiN  2024	13th International Conference on Mobile & Wireless Networks 	Zurich, Switzerland	ML
AMS 2023	Advanced Medical Sciences: An International Journal	N/A	ML
IOTBS 2024	4th International Conference on IOT, Big Data and Security	Copenhagen, Denmark	ML
IJSC 2023	International Journal on Soft Computing  	N/A	ML
EEIEJ 2023	Emerging Trends in Electrical, Electronics & Instrumentation Engineering: An international Journal	N/A	ML
IJAIA 2023	International Journal of Artificial Intelligence & Applications - H Index - 35	N/A	ML
Civo Navigate NA 2024	Civo Navigate North America 2024	Austin, TX	ML
ICCIoT 2024	5th International Conference on Cloud and Internet of Things	Zurich, Switzerland	ML
RoboCom 2024	International Workshop on Communication and Networking for Swarms Robotics	Las Vegas	ML
IJMIT 2023	International Journal of Managing Information Technology- WJCI Indexed, H index 24	N/A	ML
IJSCAI 2023	International Journal on Soft Computing, Artificial Intelligence and Applications 	N/A	ML
CNSA 2024	17th International Conference on Network Security & Applications	Zurich, Switzerland	ML
DIFM 2023	First Workshop on Distributed infrastructures for foundation models	Bologna, Italy	ML
ICAIA 2023	3rd Annual International Conference on Artificial Intelligence and Applications 	Shenzhen, China	ML
HAS  2024	International Conference on Humanities, Art and Social Studies	Virtual Conference	ML
CHENG  2024	International Conference on Advances in Chemistry & Chemical Engineering 	Virtual Conference	ML
ITCON 2023	9th International Conference on Information Technology Converge Services 	Dubai, UAE	ML
ICPRAM 2024	13th International Conference on Pattern Recognition Applications and Methods	Lisbon, Portugal	ML
VISAPP 2024	19th International Conference on Computer Vision Theory and Applications	Lisbon, Portugal	ML
VISAPP 2024	19th International Conference on Computer Vision Theory and Applications	Rome, Italy	ML
LiSci  2024	International Conference on Life Sciences	Virtual Conference	ML
SIGEM 2023	9th International Conference on Signal, Image Processing and Embedded Systems 	Dubai, UAE	ML
MLTEC 2023	4th International Conference on Machine Learning Techniques	Dubai, UAE	ML
BANDIT 2023	1st International Workshop on Big dAta aNalysis anD Illicit Trends	Sorrento, Italy	ML
ICFIT--ESCI 2024	2024 13th International Conference on Frontiers of Intelligent Technology (ICFIT 2024)--ESCI	Macau, China	ML
MLESP 2023	The 4th International Workshop on Machine Learning for EEG Signal Processing	Istanbul, Turkey	ML
BioCreative VIII 2023	BioCreative VIII Challenge and Workshop @ AMIA	New Orleans	ML
Affective-Health 2023	1st International Workshop on Affective Computing and Health Care: new research and industrial perspectives	Istanbul, Turkey	ML
BigDataAnalytics 2023	Big-Big Data Analytics Competition (CyberC, IEEE TCCC, IEEE TC @ BD)	Suzhou, China	ML
AISTATS 2024	27th International Conference on Artificial Intelligence and Statistics	Valencia, Spain	ML
BDSN 2023	The 11th International workshop on Big Data and Social Networking Management and Security 	Abu Dhabi, UAE	ML
DSEA  2023	The 7th International Workshop on Data Science Engineering and its Applications	Abu Dhabi, UAE	ML
OSNT 2023	The 9th International Workshop on Online Social Networks Technologies	Abu Dhabi, UAE	ML
ANLP 2023	The 7th International Workshop on Advances in Natural Language Processing 	Abu Dhabi, UAE	ML
SAMSN  2023	The 6th International Workshop on Sentiment Analysis and Mining of Social Networks	Abu Dhabi, UAE	ML
CNS  2024	The International Workshop on Cognitive and Neural Systems	Abu Dhabi, UAE	ML
GMLR @ ACM SAC 2024	ACM SAC Track on Graph Models for Learning and Recognition	Avila, Spain	ML
BigComp 2024	2024 International Conference on  Big Data and Smart Computing	Bangkok, Thailand	ML
AIMHC 2024	First IEEE International Conference on AI for Medicine, Health, and Care	Laguna Hills, CA	ML
ICMLSC--EI 2024	2024 8th International Conference on Machine Learning and Soft Computing (ICMLSC 2024)	Singapore	ML
CAIDS 2023	1st International Conference on Recent Advances in Computing, AI, and Data Science	Islamabad, Pakistan	ML
EAI ICISML  2024	EAI 3rd International Conference on Intelligent Systems and Machine Learning	Pune, India	ML
ICSC 2024	IEEE International Conference on Semantic Computing	Laguna Hills, CA	ML
OrMeKR 2023	Ordinal Methods for Knowledge Representation and Capture @ K-Cap 2023	Pensacola, Florida, USA	ML
ICIVC 2023	3rd International Conference on  Intelligent Vision and Computing	NIT Agartala	ML
AI4PMI 2023	Workshop on Artificial Intelligence for Predictive Maintenance and IIoT	Giza, Egypt	ML
IEEE Big Data - MMAI 2023	IEEE Big Data 2023 Workshop on Multimodal AI (Hybrid)	Online	ML
CECCT 2023	2023 International Conference on Electronics, Computers and Communication Technology (CECCT 2023)	Guilin, China	ML
FinTOC  2023	FNP-2023 Shared Task - FinTOC (Financial Document Structure Extraction)	 Sorrento, Italy	ML
ICCRD 2024	2024 The 16th International Conference on Computer Research and Development (ICCRD 2024)	Chengdu, China	ML
Continuum4smartcities 2023	Special Issue on Computing Continuum and Federated Learning for Smart Cities	N/A	ML
FOW 2023	Future of War Call For Papers	Washington DC	ML
MLHMI 2024	2024 5th International Conference on Machine Learning and Human-Computer Interaction (MLHMI 2024)	Kawasaki, Japan	ML
ACM ICMVA 2024	ACM--2024 The 7th International Conference on Machine Vision and Applications (ICMVA 2024)	Singapore	ML
IEEE Big Data AIMG 2023	IEEE Big Data 2023 Workshop on AI Music Generation	Hybrid	ML
CSCT 2023	Congress on Smart Computing Technologies	New Delhi	ML
ICCTech--Ei 2024	2024 the 3rd International Conference on Computer Technologies (ICCTech 2024)	Bali Island, Indonesia	ML
ICSCA 2024	ACM--2024 13th International Conference on Software and Computer Applications (ICSCA 2024)	Bali Island, Indonesia	ML
ICCIS 2023	5th International Conference on Communication and Intelligent Systems	Jaipur, India	ML
MLSC 2024	5th International Conference on Machine Learning and Soft Computing	Vancouver, Canada	ML
SOFE  2024	10th International Conference on Software Engineering	 Vancouver, Canada	ML
ADCOM 2024	10th International conference on Advanced Computing	Vancouver, Canada	ML
ACM-Ei/Scopus-MICML  2023	2023 International Conference on Mathematics, Intelligent Computing and Machine Learning (MICML 2023) -EI Compendex	Chengdu, China	ML
IEEE Xplore-Ei/Scopus-DMCSE 2023	2023 International Conference on Data Mining, Computing and Software Engineering (DMCSE 2023) -EI Compendex	Chengdu, China	ML
ACM-Ei/Scopus-AIHPC 2023	2023 International Conference on Artificial Intelligence and High-Performance Computing (AIHPC 2023) -EI Compendex	Chengdu, China	ML
ACMLC 2024	2024 6th Asia Conference on Machine Learning and Computing (ACMLC 2024)	Bangkok, Thailand	ML
ACM-EI/Scopus-PRDM 2023	2023 4th International Conference on Pattern Recognition and Data Mining (PRDM 2023) -EI Compendex	Sanya, China	ML
ACM-Ei/Scopus-MLBDM 2023	2023 3rd International Conference on Machine Learning and Big Data Managementï¼MLBDM 2023ï¼-EI Compendex 	Sanya, China	ML
ACDSA 2024	International Conference on Artificial Intelligence, Computer, Data Sciences and Applications	Mahe, Seychelles	ML
IPMI 2024	2024 International Conference on Image Processing and Machine Intelligence (IPMI 2024)	Batangas City, Philippines	ML
IEEE Xplore-Ei/Scopus-ANHMI 2023	2023 International Conference on Algorithms, Networking and HumanâMachine Interaction (ANHMI 2023) -EI Compendex	Chengdu, China 	ML
ECOJ 2023	Ecology: An International Journal	N/A	ML
JPS 2023	Journal of Political Science (JPS)	N/A	ML
AITIJ 2023	Advances in Interconnect Technologies: An International Journal	N/A	ML
IJMSA 2023	International Journal of Modelling, Simulation and Applications	N/A	ML
ADEIJ 2023	Advances in Engineering: an International Journal 	N/A	ML
JoL 2023	International Journal of Law 	N/A	ML
ESIJ 2023	Earth Sciences: an International Journal	N/A	ML
PBIJ 2023	Pharmaceutical and Biomedical sciences: An International Journal	N/A	ML
IJAD 2023	International Journal of Advanced Dermatology 	N/A	ML
AEROIJ 2023	Aerospace Engineering: An International Journal 	N/A	ML
AMLSP 2023	2023 5th International Conference on Algorithms, Machine Learning and Signal Processing (AMLSP 2023)	 Bangkok, Thailand 	ML
evostar 2024	EvoStar 2024 - The Leading European Event on BioâInspired Computation	Aberystwyth	ML
6th AccML 2024	6th Workshop on Accelerated Machine Learning (AccML)	Munich, Germany	ML
FAIML  2024	2024 3rd International Conference on Frontiers of Artificial Intelligence and Machine Learning	Chongqing, China	ML
CVPR 2024	The IEEE/CVF Conference on Computer Vision and Pattern Recognition	Seattle, USA	ML
CAMEE 2023	2023 2nd International Conference on Mechanical, Automation and Electrical Engineering (CAMEE 2023)	Chengdu, China	ML
CSTE--Ei 2024	2024 The 6th International Conference on Computer Science and Technologies in Education (CSTE 2024)	Xi'an, China	ML
IDA 2024	The 22nd International Symposium on Intelligent Data Analysis	Stockholm, Sweden	ML
PeRConAI 2024	3rd International Workshop on Pervasive and Resource-Constrained Artificial Intelligence	Biarritz, France	ML
CISNS 2023	2023 4th International Conference on Information System and Network Security (CISNS 2023)	Sanya, China	ML
MLAMDA  2023	2023 Asia Conference on Machine Learning, Algorithms, Modeling and Data Analysis (MLAMDA 2023)	Xiamen, China	ML
MLNLP 2023	 2023 6th International Conference on Machine Learning and Natural Language Processing (MLNLP 2023)	Sanya, China	ML
AIDBEI 2024	AIDBEI2024: Diversity Workshop on Artificial Intelligence - Diversity, Belonging, Equity, and Inclusion	Vancouver, Canada	ML
SI AMLCP 2024	SPECIAL ISSUE on Advancements in Machine Learning for Cybersecurity and Privacy: Algorithms, Models, and Applications	N/A	ML
smart health 2023	1ST INTERNATIONAL WORKSHOP ON SMART HEALTH	Leuven, Belgium	ML
ICCAI--EI 2024	2024 10th International Conference on Computing and Artificial Intelligence (ICCAI 2024)	Bali, Indonesia	ML
MSR4P&S 2024	2nd International Workshop on MSR Applications for Privacy and Security 	Rovaniemi, Finland	ML
CFP-CIPCV-EI/SCOPUS 2024	2024 2nd International Conference On Intelligent Perception And Computer Vision	Xiamen, China	ML
SR4RS 2024	Super-resolution for remote sensing (Springer, 2024)	N/A	ML
ISIPA--SCOPUS 2024	2024 International Symposium on Image Processing and Analysis 	Xiamen, China	ML
OLA 2024	OLA'2024 Int. Conf. on Optimization & Learning	Dubrovnic	ML
ICMAI 2024	International Conference on Mathematics and Artificial Intelligence	Beijing, China	ML
SI in Applied Sciences 2023	Special Issue Data Science Methods in Big Data Era in Applied Sciences	N/A	ML
OMLMIA 2023	Optimization and Machine Learning in Medical Image Analysis 	N/A	ML
blockchain_ml_iot  2023	Network (MDPI) Special Issue - Blockchain and Machine Learning for IoT: Security and Privacy Challenges	N/A	ML
SI-MLT 2023	Special Issue on MACHINE LEARNING IN TOURISM - Int. J. of Machine Learning and Cybernetics (Springer)	N/A	ML
ICACR 2024	2024 the 8th International Conference on Automation, Control and Robots (ICACR 2024)	Shenzhen, China	ML
ICMLT 2024	2024 9th International Conference on Machine Learning Technologies (ICMLT 2024)	Oslo, Norway	ML
Frontiersin SI on ML Wireless 2023	SI on Machine Learning-Based Spectrum Occupancy Prediction and Resource Allocation/Management for Wireless Communication Systems	N/A	ML
ML4CPS 2024	Machine Learning for Cyber-Physical Systems	Berlin, Germany	ML
ICDM 2024	24th Industrial Conference on Data Mining	Dresden, Germany	ML
WSOM+ 2024	15th Workshop on Self-Organizing Maps, Learning Vector Quantization & Beyond	Mittweida, Germany	ML
MLDM 2024	20th International Conference on Machine Learning and Data Mining	Dresden, Germany	ML
IWPR--EI 2024	2024 9th International Workshop on Pattern Recognition (IWPR 2024)	Xiamen, China	ML
FLAIRS 2024	37th International FLAIRS Conference	Miramar Beach, Florida	ML
FLAIRS - SLP 2024	Spoken Language Processing  and  Conversational Systems  Special Track	Miramar Beach Florida	ML
ICICCS 2024	8th International Conference on Intelligent Computing and Control Systems	Madurai, India	ML
ACDL 2024	7th Advanced Course on Data Science & Machine Learning	Tuscany, Italy	ML
IEEE ACIRS 2024	IEEE--2024 the 9th Asia-Pacific Conference on Intelligent Robot Systems (ACIRS 2024)	Dalian, China	ML
ICANN 2024	33rd International Conference on Artificial Neural Networks	Lugano-Viganello, Switzerland	ML
FAIML 2024	2023 International Conference on Frontiers of Artificial Intelligence and Machine Learning (FAIML 2023)	Beijing, China	ML
AIAAT 2024	2024 7th International Conference on Artificial Intelligence Applications and Technologies 	 Kuala Lumpur, Malaysia	ML
JCICE 2024	2024 International Joint Conference on Information and Communication Engineering(JCICE 2024)	Chengdu, China	ML
EAIH 2024	Explainable AI for Health	N/A	ML
IEEE ICA 2022	The 6th IEEE International Conference on Agents	Adelaide, Australia	ML
MIBIO  2024	3rd International Conference of Multidisciplinary & Interdisciplinary Bioscience	Virtual Conference	ML
BIOEN  2024	7th International Conference on Biomedical Engineering and Science	Virtual Conference	ML
NLDML 2024	3rd International Conference on NLP, Data Mining and Machine Learning	Virtual Conference	ML
ITNG 2024	The 21st Int'l Conf. on Information Technology: New Generations                          ITNG 2024	Las Vegas	ML
FL@FM-NeurIPS 2023	International Workshop on Federated Learning in the Age of Foundation Models in Conjunction with NeurIPS 2023	New Orleans, LA, USA	ML
ICBINB@NeurIPS 2023	ICBINB@NeurIPS2023 - Failure Modes in the Age of Foundation Models	New Orleans 	ML
VSI: AMLDFIS 2023	Special Issue of Information Fusion (Elsevier): New Trends of Adversarial Machine Learning for Data Fusion and Intelligent System	N/A	ML
ICRMV 2024	2024 the 8th International Conference on Robotics and Machine Vision (ICRMV 2024)	Shanghai, China	ML
ACM NLPIR 2023	ACM--2023 7th International Conference on Natural Language Processing and Information Retrieval (NLPIR 2023)	Seoul, South Korea	ML
SAFE 2023	Workshop on Explainable and Safety Bounded, Fidelitous, Machine Learning for Networking @CONEXT 2023	Paris, France	ML
Call for Book Chapter 2023	Decoding Cultural Heritage: a critical dissection and taxonomy of human creativity through digital tools	Springer	ML
IEEE Xplore-Ei/Scopus-AICME 2023	2023 International Conference on Artificial Intelligence, Communications and Mechatronics (AICME 2023) -EI Compendex	Chongqing, China	ML
IEEE Xplore-Ei/Scopus-CSPIT 2023	2023 Asia Conference on Communications, Signal Processing and Information Technology (CSPIT 2023) -EI Compendex	Singapore	ML
EI 2024	Electronic Imaging Symposium 2024	Burlingame, CA	ML
CAMS 2023	International Conference on Clinical and Medical Sciences 	Virtual Conference	ML
ACM ICMLC 2024	ACM--2024 16th International Conference on Machine Learning and Computing (ICMLC 2024)	Shenzhen, China	ML
IEEE ISCMI 2023	IEEE--2023 10th International Conference on Soft Computing & Machine Intelligence (ISCMI 2023)--SCIE	Mexico City, Mexico	ML
GNNet@CoNEXT 2023	Graph Neural Networking Workshop (co-located with ACM CoNEXT 2023)	Paris	ML
AAISS 2023	Special Issue on Advances in Artificial Intelligent Systems for the Scholarly Domain 	N/A	ML
ICLR 2024	International Conference of Learning Representations	Vienna, Austria	ML
IJCNC 2023	Special Issue on - Shaping up the Innovations in Graph Theory to measure linearity of data	N/A	ML
MLIS 2023	The 5th International Conference on Machine Learning and Intelligent Systems (MLIS 2023)	Macao, China/Online via MS TEAMS	ML
MLMI 2023	2023 The 6th International Conference on Machine Learning and Machine Intelligence (MLMI 2023)	Chongqing, China	ML
MLPR 2023	2023 The International Conference on Machine Learning and Pattern Recognition (MLPR 2023)	Chongqing, China	ML
SOICT 2023	The 12th Symposium on Information and Communication Technology	Hochiminh city, Vietnam	ML
IEEE FG 2024	18th IEEE International Conference on Automatic Face and Gesture Recognition	Istanbul, Turkey	ML
LAJC(1) 2024	Latin-American Journal of Computing Vol 11. Issue 1 - 2024-1	N/A	ML
ISSA 2023	Intelligent Systems, Services and Applications (ISSA 2023)	The Berkeley Hotel Bangkok	ML
SIVT 2023	Signal Image and Vision Technology	The Berkeley Hotel Bangkok	ML
DMU2 2023	The 1st International Workshop on User Understanding from Big Data Workshop	Shanghai, China	ML
DMMLACS 2023	Special Session on Data Mining and Machine Learning Applications for Cyber Security	Rome, Italy	ML
responsible-AI 2023	TRUSTWORTHY MACHINE LEARNING	Shanghai, China	ML
ICCI 2023	4th International Conference On Computational Intelligence	SVNIT, Surat, India	ML
CXAI 2023	The ICDM 2023 Workshop on Causal and Explainable AI	Shanghai, China	ML
CFEM  2023	Cornell Financial Engineering 2023 Conference Call For Papers	Cornell School of Financial Engineering	ML
MLCR 2023	2nd International Conference on Machine Learning, Control, and Robotics	Nanjing, China	ML
ICSISCET 2023	5th International Conference on Sustainable and Innovative Solutions for Current Challenges in Engineering & Technology	Madhav Institute of Technology & Science	ML
ICDM NeuRec Workshop 2023	The Fourth International Workshop on Advanced Neural Algorithms and Theories for Recommender Systems 2023	Shanghai, China (hybrid)	ML
CSEC 2023	2023 International Conference on Computer Science, Electronics and Communications (CSEC 2023)	Beijing, China	ML
ML4H 2023	Machine Learning for Health 	New Orleans, United States	ML
CSoNet 2023	CFP: The 12th International Conference on Computational Data and Social Networks	Hanoi, Vietnam	ML
CSoNet 2023	CFP: The 12th International Conference on Computational Data and Social Networks	Hanoi, Vietnam	ML
CONSTRAINT 2023	Special Session on Handling Resource constraints for/using ML	Virtual	ML
ML4GRAPHS 2024	Special Session on Machine Learning for Graphs	Virtual	ML
AI & Porn 2023	Journal Special Issue: Artificial Intelligence, Pornography, and Sex Work	N/A	ML
GCA 2023	The Eighth International Workshop on GPU Computing and AI	Matsue, Japan	ML
RECON  2023	The 1st edition of RECON - Reinforcement Learning for Communication and Network Optimization workshop	Boston, MA, USA	ML
IEEE BigData  2023	EEE International Conference on Big Data	Sorento, Italy	ML
DME 2023	International Workshop on Data Mining for Education: Techniques, Challenges, and Applications	Shanghai, China	ML
IRC 2023	IEEE International Conference on Robotic Computing	Laguna Hills, CA	ML
BigMM 2023	IEEE International Conference on Multimedia Big Data	Laguna Hills, CA	ML
NLDL 2024	Northern Lights Deep Learning Conference 2024	TromsÃ¸	ML
DME 2023	International Workshop on Data Mining for Education: Techniques, Challenges, and Applications	Shanghai, China	ML
RiTA 2023	The 11th International Conference on Robot Intelligence Technology and Applications	Taicang, China	ML
MVEO 2023	Workshop on Machine Vision for Earth Observation@BMVC2023	Aberdeen, UK	ML
SI-DL4BDA 2023	Emerging Trends and Applications of Deep Learning for Biomedical Data Analysis	N/A	ML
DMBD 2023	8th International Conference on Data Mining and Big Data	Sanya, China	ML
RiTA 2023	The 11th International Conference on Robot Intelligence Technology and Applications	Taicang, China	ML
IJCACI 2023	7th International Joint Conference on Advances in Computational Intelligence	South Asian University, India 	ML
ADMIT  2023	2023 2nd International Conference on Algorithms, Data Mining, and Information Technology (ADMIT 2023)	Chengdu, China	ML
ACM-EI/Scopus-AIMLR 2023	2023 Asia Conference on Artificial Intelligence, Machine Learning and Robotics (AIMLR 2023)	Bangkok, Thailand	ML
ICSIF 2023	International Conference on Services and Industry of the Future	Rabat, Morocco	ML
AUSDM 2023	The Australasian Data Science and Machine Learning Conference 2023 - First Call for Papers	Auckland, New Zealand	ML
AusDM 2023	Australasian Data Science and Machine Learning Conference	Auckland, New Zealand	ML
ICSEng 2023	30th INTERNATIONAL CONFERENCE ON SYSTEMS ENGINEERING	University of Nevada, Las Vegas, USA	ML
WAIE 2023	2023 5th International Workshop on Artificial Intelligence and Education (WAIE 2023)	Tokyo, Japan	ML
BigData 2023 - 6th HealthCare Data 2023	IEEE BigData 2023 - 6th Special Session on HealthCare Data	Sorrento, Italy	ML
EAI SaSeIoT 2023	7th EAI International Conference on Safety and Security in Internet of Things	Bratislava, Slovakia	ML
ICADCML 2024	5th International Conference on Advances in Distributed Computing and Machine Learning	Amaravati, Andhra Pradesh, India	ML
SPACA 2023	Second Symposium on Survival Prediction: Algorithms, Challenges and Applications	Arlington, VA, USA	ML
SIMBIG-ANLP 2023	SIMBIG 2023 - Track on Applied Natural Language Processing (ANLP)	Mexico 	ML
PREDICTION SOLUTIONS 2023	International Conference on Prediction Solutions for Technical and Societal Systems	Valencia, Spain	ML
BDML 2023	2023 6th International Conference on Big Data and Machine Learning (BDML 2023)	Xiamen, China	ML
ENC 2023	**Final extension**: Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023 (ENC 2023)	Guanajuato, Mexico 	ML
MICAI 2023	22nd Mexican International Conference on Artificial Intelligence	Merida, Mexico	ML
iSAI-NLP-AIoT 2023	The 18th International Joint Symposium on Artificial Intelligence and Natural Language Processing and The International Conference on Artificial Intelligence and Internet of Things	Bangkok	ML
ICRCV 2023	IEEE--2023 5th International Conference on Robotics and Computer Vision (ICRCV 2023)	Nanjing, China	ML
GMIP 2023	Special Session on Generative Models in Image Processing (GMIP 2023) collocated with IEEE ICIST 2023	Cairo, Egypt	ML
YSC 2023	International Young Scientists Conference in Computational Science 2023	Abu Dhabi, UAE	ML
IDC2 2023	16th International Symposium on Intelligent Distributed Computing, 2nd call	Hamburg, Germany	ML
EAI MLICOM  2023	8th EAI International Conference on Machine Learning and Intelligent Communications	Beijing, People's Republic of China	ML
EUROLAN 2023	EUROLAN-2023  Autumn School on  Architectures, Resources, Evaluation and Implications of Generative AI	Republic of Moldova, BÄlÈi	ML
PKAW 2023	2023 Principle and practice of data and Knowledge Acquisition Workshop (PKAW 2023)	Jakarta, Indonesia	ML
SUMAC 2023	5th ACM International workshop on analysis, understanding and promotion of heritage contents	Ottawa, Canada	ML
VIPERC 2023	2nd International Conference on Visual Pattern Extraction and Recognition for Cultural Heritage Understanding	Zadar, Croatia	ML
ICMLDE 2023	2nd International Conference on Machine Learning and Data Engineering	Dehradun, India	ML
IDEAL 2023	24th International Conference on Intelligent Data Engineering and Automated Learning	Ãvora, Portugal	ML
ENC 2023	**2nd. extension**: Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023 (ENC 2023)	Guanajuato city, Mexico.	ML
CUDAN 2023	Cultural Data Analytics Conference 2023	Tallinn, Estonia	ML
NarSUM 2023	The 2nd Workshop on User-Centric Narrative Summarization of Long Videos	Ottawa, Canada	ML
FAIMI-MICCAI 2023	Fairness of AI in Medical Imaging @ MICCAI 2023	Vancouver, Canada	ML
CLAI Unconf 2023	ContinualAI Unconference 2023	Remote	ML
TAISEN 2023	The 1st International Workshop on Trust in AI, Services and Networking 	Reykjavik, Iceland	ML
GENEA 2023	Generation and Evaluation of Non-verbal Behaviour for Embodied Agents Workshop 2023	Paris	ML
CODS-COMAD 2024	7th Joint Conference on Data Science and Management of Data	IIIT Bangalore, Bengaluru, India	ML
NCTA 2023	15th International Conference on Neural Computation Theory and Applications	Lisbon, Portugal	ML
ENC 2023	** Deadline extended** Track: Scientific Computation Applied to Geospatial Problems, Encuentro Nacional de ComputaciÃ³n 2023	Guanajuato city, Mexico	ML
IICAIET 2023	IEEE International Conference on Artificial Intelligence in Engineering and Technology	Kota Kinabalu, Sabah, Malaysia	ML
SI DMCM 2023	SPECIAL ISSUE on  Dynamic Modeling and Control methods for the Nonlinear system using Artificial Mathematical Intelligence	N/A	ML
INFORMS WDS 2023	2023 INFORMS Workshop on Data Science	Phoenix, Arizona	ML
ACVR 2023	Eleventh International Workshop on Assistive Computer Vision and Robotics	Paris (France)	ML
KiTS 2023	The 2023 MICCAI Kidney Tumor Segmentation Challenge	Vancouver, Canada	ML
DALI 2023	The 3rd MICCAI Workshop on Data Augmentation, Labeling, and Imperfections	Vancouver, Canada	ML
SiPML 2023	9th International Workshop on Signal Processing and Machine Learning	Daegu, South Korea	ML
ICMU 2023	The 14th International Conference on Mobile Computing and Ubiquitous Networking	Kyoto, Japan	ML
